Code;Definition;Description;
1000;Bankfiliale;Bankfiliale' ist eine Einrichtung in der Geldgeschäfte getätigt werden ;
1010;Hotel;Hotel' ist ein Beherbergungs- und/oder Verpflegungsbetrieb.;
1020;Jugendherberge;Jugendherberge' ist eine zur Förderung von Jugendreisen dienende Aufenthalts- und Übernachtungsstätte.;
1030;Gaststätte;Gaststätte' ist eine Einrichtung, in der gegen Entgelt Mahlzeiten und Getränke zum sofortigen Verzehr angeboten werden.;
1040;Kino;Kino' ist eine Einrichtung, in der alle Arten von Filmen bzw. Lichtspielen für ein Publikum abgespielt werden.;
1050;Spielkasino;Spielkasino' ist eine Einrichtung, in der öffentlich zugänglich staatlich konzessioniertes Glücksspiel betrieben wird. ;
1060;Tiefgarage;Tiefgarage' ist ein Bauwerk unterhalb der Erdoberfläche, in dem Fahrzeuge abgestellt werden.;
1070;Parkdeck;Parkdeck' ist eine Fläche auf einem Gebäude, auf der Fahrzeuge abgestellt werden.;
1080;Toilette;Toilette' ist eine Einrichtung mit sanitären Vorrichtungen zum Verrichtung der Notdurft.;
1090;Post;Post' ist eine Einrichtung, von der aus Briefe, Pakete befördert und weitere Dienstleistungen angeboten werden.;
1100;Zoll;Zoll' ist eine Einrichtung der Zollabfertigung.;
1110;Theater;Theater' ist eine Einrichtung, in der Bühnenstücke aufgeführt werden.;
1120;Museum;Museum' ist eine Einrichtung in der Sammlungen von (historischen) Objekten oder Reproduktionen davon ausgestellt werden.;
1130;Bibliothek;Bibliothek' ist eine Einrichtung, in der Bücher und Zeitschriften gesammelt, aufbewahrt und ausgeliehen werden.;
1140;Kapelle;Kapelle' ist eine Einrichtung für (christliche) gottesdienstliche Zwecke .;
1150;Moschee;Moschee' ist ein Einrichtung, in der sich Muslime zu Gottesdiensten versammeln oder zu anderen Zwecken treffen.;
1160;Tempel;;
1170;Apotheke;Apotheke' ist ein Geschäft, in dem Arzneimittel hergestellt und verkauft werden.;
1180;Polizeiwache;Polizeiwache' ist eine Dienststelle der Polizei.;
1190;Rettungsstelle;Rettungsstelle' ist eine Einrichtung zur Aufnahme, Erstbehandlung und gezielten Weiterverlegung von Patienten mit Erkrankungen und Unfällen aller Art.;
1200;Touristisches Informationszentrum;Touristisches Informationszentrum' ist eine Auskunftsstelle für Touristen.;
1210;Kindergarten;Kindergarten' ist eine Einrichtung, in der Kinder im Vorschulalter betreut werden.;
1220;Arztpraxis;Arztpraxis' ist die Arbeitsstätte eines Arztes.;
1230;Supermarkzt;;
1240;Geschäft;;
